****************************** TOP CPU REPORT FOR PACKAGE: START
### package_name=com.bestv.ott monitor_interval=1
*TIME  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
15:54:18    3372  0   2% S    75 686468K 233076K  fg system   com.bestv.ott
15:54:23    3372  0   2% S    75 686468K 233076K  fg system   com.bestv.ott
15:54:27    3372  0   2% R    75 686468K 233076K  fg system   com.bestv.ott
15:54:31    3372  0   2% S    75 686468K 233076K  fg system   com.bestv.ott
15:54:35    3372  1   2% S    75 686468K 233076K  fg system   com.bestv.ott
15:54:40    3372  0   2% S    75 686468K 233076K  fg system   com.bestv.ott
15:54:44    3372  1   2% S    75 686468K 233076K  fg system   com.bestv.ott
15:54:48    3372  1   2% S    75 686468K 233076K  fg system   com.bestv.ott
15:54:52    3372  1  12% S    73 678964K 233564K  fg system   com.bestv.ott
15:54:57    3372  0   3% S    73 700516K 233496K  fg system   com.bestv.ott
15:55:01    3372  0   4% S    73 700712K 233756K  fg system   com.bestv.ott
15:55:05    3372  0   3% S    73 700516K 233600K  fg system   com.bestv.ott
15:55:10    3372  0   5% S    73 699500K 230368K  fg system   com.bestv.ott
15:55:14    3372  0  21% R    74 709760K 237360K  fg system   com.bestv.ott
15:55:18    3372  1   2% S    73 683044K 228484K  fg system   com.bestv.ott
15:55:22    3372  0   2% S    73 683044K 228484K  fg system   com.bestv.ott
15:55:27    3372  1   3% S    73 683012K 228572K  fg system   com.bestv.ott
15:55:31    3372  1   4% S    73 683012K 228752K  fg system   com.bestv.ott
15:55:35    3372  0  27% R    75 716168K 252712K  fg system   com.bestv.ott
15:55:39    3372  0  34% S    84 728480K 242808K  fg system   com.bestv.ott
15:55:44    3372  1  34% S    84 730732K 257932K  fg system   com.bestv.ott
15:55:48    3372  1  24% S    85 728260K 274520K  fg system   com.bestv.ott
15:55:52    3372  1   8% R    86 727412K 249848K  fg system   com.bestv.ott
15:55:57    3372  1  16% R    90 732260K 255352K  fg system   com.bestv.ott
15:56:01    3372  0  11% S    90 742704K 265984K  fg system   com.bestv.ott
15:56:06    3372  0  10% R    90 738664K 270584K  fg system   com.bestv.ott
15:56:10    3372  1   9% R    90 740312K 263832K  fg system   com.bestv.ott
15:56:14    3372  1  13% S    90 744212K 268396K  fg system   com.bestv.ott
15:56:19    3372  0  12% S    90 748532K 273220K  fg system   com.bestv.ott
15:56:23    3372  1  21% S    90 754684K 279576K  fg system   com.bestv.ott
15:56:27    3372  0  14% S    90 757904K 282856K  fg system   com.bestv.ott
15:56:32    3372  0  15% S    90 759368K 280800K  fg system   com.bestv.ott
15:56:36    3372  0  11% S    90 759920K 281612K  fg system   com.bestv.ott
15:56:40    3372  1  27% R    90 772852K 300732K  fg system   com.bestv.ott
15:56:45    3372  1  23% R    91 779072K 288332K  fg system   com.bestv.ott
15:56:49    3372  0  14% R    91 767476K 284984K  fg system   com.bestv.ott
15:56:53    3372  0  13% R    92 768792K 287916K  fg system   com.bestv.ott
15:56:57    3372  0   3% S    76 720088K 288788K  fg system   com.bestv.ott
15:57:02    3372  0   3% S    76 720088K 288808K  fg system   com.bestv.ott
15:57:06    3372  0   3% S    76 720088K 288820K  fg system   com.bestv.ott
15:57:10    3372  0  24% R    76 745680K 282960K  fg system   com.bestv.ott
15:57:15    3372  1  23% R    73 782008K 293196K  fg system   com.bestv.ott
15:57:19    3372  1  13% S    73 773436K 282548K  fg system   com.bestv.ott
15:57:23    3372  0   3% S    73 773808K 282960K  fg system   com.bestv.ott
15:57:27    3372  0  22% S    74 750200K 288720K  fg system   com.bestv.ott
15:57:32    3372  0  23% R    74 750124K 288644K  fg system   com.bestv.ott
15:57:36    3372  0   4% S    74 742640K 283724K  fg system   com.bestv.ott
15:57:40    3372  1   8% S    74 742432K 283656K  fg system   com.bestv.ott
15:57:44    3372  1   6% S    74 742432K 283656K  fg system   com.bestv.ott
15:57:49    3372  1   6% S    74 742272K 283580K  fg system   com.bestv.ott
15:57:53    3372  1   7% S    74 742272K 283624K  fg system   com.bestv.ott
15:57:57    3372  1   9% R    74 742576K 283992K  fg system   com.bestv.ott
15:58:01    3372  0   4% S    74 742256K 284496K  fg system   com.bestv.ott
15:58:06    3372  0   8% R    73 741216K 284680K  fg system   com.bestv.ott
15:58:10    3372  1  25% R    73 779980K 303492K  fg system   com.bestv.ott
15:58:14    3372  0  20% R    74 722160K 282724K  fg system   com.bestv.ott
15:58:18    3372  1  27% R    73 746728K 299236K  fg system   com.bestv.ott
15:58:23    3372  0   5% S    73 774524K 284868K  fg system   com.bestv.ott
15:58:27    3372  1   8% S    73 775284K 285588K  fg system   com.bestv.ott
15:58:31    3372  0  12% S    74 719540K 285436K  fg system   com.bestv.ott
15:58:36    3372  0  32% R    88 759896K 278056K  fg system   com.bestv.ott
15:58:40    3372  1  31% R    88 759976K 272720K  fg system   com.bestv.ott
15:58:44    3372  0  21% S    89 761552K 281784K  fg system   com.bestv.ott
15:58:48    3372  0  24% R    88 766552K 283064K  fg system   com.bestv.ott
15:58:53    3372  0  22% S    88 784040K 293744K  fg system   com.bestv.ott
15:58:57    3372  1   2% S    88 782040K 293908K  fg system   com.bestv.ott
15:59:01    3372  1   2% S    88 782040K 293908K  fg system   com.bestv.ott
15:59:05    3372  0   4% S    88 790460K 294292K  fg system   com.bestv.ott
15:59:10    3372  0   4% S    88 790620K 294452K  fg system   com.bestv.ott
15:59:14    3372  0   2% S    88 790140K 293972K  fg system   com.bestv.ott
15:59:18    3372  1   2% S    88 790140K 293972K  fg system   com.bestv.ott
15:59:22    3372  1   9% S    88 760132K 294888K  fg system   com.bestv.ott
15:59:27    3372  1  16% R    88 792876K 303200K  fg system   com.bestv.ott
15:59:31    3372  0  18% S    88 793336K 303664K  fg system   com.bestv.ott
15:59:35    3372  0  13% R    89 793020K 301592K  fg system   com.bestv.ott
15:59:40    3372  1  26% R    89 764736K 301724K  fg system   com.bestv.ott
15:59:44    3372  0   9% R    89 760312K 287524K  fg system   com.bestv.ott
15:59:48    3372  0  21% R    80 753416K 295540K  fg system   com.bestv.ott
15:59:53    3372  0  26% R    80 762936K 304768K  fg system   com.bestv.ott
15:59:57    3372  0  10% S    78 748768K 291776K  fg system   com.bestv.ott
16:00:01    3372  0  14% S    78 748768K 291776K  fg system   com.bestv.ott
16:00:05    3372  0  12% R    78 748544K 291552K  fg system   com.bestv.ott
16:00:10    3372  1  25% S    78 759108K 301688K  fg system   com.bestv.ott
16:00:14    3372  0  16% S    78 748864K 301848K  fg system   com.bestv.ott
16:00:18    3372  0  23% R    78 752004K 282908K  fg system   com.bestv.ott
16:00:23    3372  1   6% S    78 732184K 282828K  fg system   com.bestv.ott
16:00:27    3372  1   4% R    78 748960K 283380K  fg system   com.bestv.ott
16:00:31    3372  0  17% S    78 749568K 286340K  fg system   com.bestv.ott
16:00:36    3372  1   8% S    78 748384K 286180K  fg system   com.bestv.ott
16:00:40    3372  0   5% S    78 748384K 286180K  fg system   com.bestv.ott
16:00:44    3372  1   7% S    78 724632K 295092K  fg system   com.bestv.ott
16:00:49    3372  1  18% R    78 748832K 286804K  fg system   com.bestv.ott
16:00:53    3372  1  20% R    78 749024K 286996K  fg system   com.bestv.ott
16:00:57    3372  0  17% R    78 729328K 310204K  fg system   com.bestv.ott
16:01:02    3372  1  13% R    77 775068K 306144K  fg system   com.bestv.ott
16:01:06    3372  0  13% R    77 784160K 297092K  fg system   com.bestv.ott
16:01:11    3372  1  24% R    75 747968K 270636K  fg system   com.bestv.ott
16:01:15    3372  0  21% R    75 716384K 241832K  fg system   com.bestv.ott
16:01:19    3372  0  12% S    85 730308K 243004K  fg system   com.bestv.ott
16:01:24    3372  1  15% S    83 745604K 257128K  fg system   com.bestv.ott
16:01:28    3372  1  12% S    83 759452K 256784K  fg system   com.bestv.ott
16:01:32    3372  0  26% R    84 740444K 262012K  fg system   com.bestv.ott
16:01:37    3372  1  13% R    84 728416K 262068K  fg system   com.bestv.ott
16:01:41    3372  1   7% R    84 727996K 254812K  fg system   com.bestv.ott
16:01:45    3372  1  13% S    84 720772K 254900K  fg system   com.bestv.ott
16:01:50    3372  1   4% S    84 728156K 255092K  fg system   com.bestv.ott
16:01:54    3372  0   4% S    84 728192K 255092K  fg system   com.bestv.ott
16:01:58    3372  0   3% S    84 728156K 255092K  fg system   com.bestv.ott
16:02:03    3372  1   5% R    84 736168K 255112K  fg system   com.bestv.ott
16:02:07    3372  0   3% S    84 728156K 254256K  fg system   com.bestv.ott
16:02:11    3372  0   3% S    84 728156K 254256K  fg system   com.bestv.ott
16:02:15    3372  1   3% R    84 728736K 254256K  fg system   com.bestv.ott
16:02:20    3372  1   3% R    75 718796K 254184K  fg system   com.bestv.ott
16:02:24    3372  1  19% R    75 718636K 254188K  fg system   com.bestv.ott
16:02:28    3372  0  17% S    75 718864K 254432K  fg system   com.bestv.ott
16:02:32    3372  0   3% S    73 716716K 254416K  fg system   com.bestv.ott
16:02:37    3372  1   3% S    73 716556K 254256K  fg system   com.bestv.ott
16:02:41    3372  0   2% S    73 716556K 254256K  fg system   com.bestv.ott
16:02:45    3372  0   3% S    73 716716K 254416K  fg system   com.bestv.ott
16:02:49    3372  1   3% S    73 716784K 254416K  fg system   com.bestv.ott
16:02:54    3372  0   3% S    73 716784K 254416K  fg system   com.bestv.ott
16:02:58    3372  1   3% S    73 716716K 254416K  fg system   com.bestv.ott
16:03:02    3372  1   3% S    73 716556K 254256K  fg system   com.bestv.ott
16:03:06    3372  0   3% S    73 716716K 254416K  fg system   com.bestv.ott
16:03:11    3372  0   3% S    73 716588K 254288K  fg system   com.bestv.ott
16:03:15    3372  0   3% S    73 716784K 254452K  fg system   com.bestv.ott
16:03:19    3372  0   3% S    73 716556K 254292K  fg system   com.bestv.ott
16:03:23    3372  0   3% S    73 716716K 254452K  fg system   com.bestv.ott
16:03:28    3372  1   3% S    72 715676K 254444K  fg system   com.bestv.ott
16:03:32    3372  1   3% S    72 715584K 254316K  fg system   com.bestv.ott
16:03:36    3372  0   4% S    73 716556K 254428K  fg system   com.bestv.ott
16:03:40    3372  0   3% S    73 716716K 254600K  fg system   com.bestv.ott
16:03:45    3372  0   4% S    73 717364K 254608K  fg system   com.bestv.ott
16:03:49    3372  0   3% S    73 716716K 254616K  fg system   com.bestv.ott
16:03:53    3372  0   3% S    73 716716K 254632K  fg system   com.bestv.ott
16:03:57    3372  0   4% S    73 708780K 254748K  fg system   com.bestv.ott
16:04:02    3372  1  19% R    73 717068K 254896K  fg system   com.bestv.ott
16:04:06    3372  1  16% S    73 704028K 264180K  fg system   com.bestv.ott
16:04:10    3372  0   4% S    73 716556K 255684K  fg system   com.bestv.ott
16:04:14    3372  1   5% S    73 716556K 255804K  fg system   com.bestv.ott
16:04:19    3372  0   6% S    73 716716K 256040K  fg system   com.bestv.ott
16:04:23    3372  1   5% S    73 716716K 256040K  fg system   com.bestv.ott
16:04:27    3372  0   7% R    73 716716K 256040K  fg system   com.bestv.ott
16:04:32    3372  0   6% S    73 716716K 256280K  fg system   com.bestv.ott
16:04:36    3372  0   4% S    72 715516K 256112K  fg system   com.bestv.ott
16:04:40    3372  1  26% R    72 716160K 264768K  fg system   com.bestv.ott
16:04:44    3372  1  34% R   104 832700K 305320K  fg system   com.bestv.ott
16:04:49    3372  1  29% R   100 791980K 272840K  fg system   com.bestv.ott
16:04:53    3372  0  21% S   101 780372K 264260K  fg system   com.bestv.ott
16:04:57    3372  0   9% S   101 764656K 264820K  fg system   com.bestv.ott
16:05:02    3372  0   2% S   101 764656K 264820K  fg system   com.bestv.ott
16:05:06    3372  1  20% R   104 788536K 275860K  fg system   com.bestv.ott
16:05:10    3372  1  36% S   103 822500K 282080K  fg system   com.bestv.ott
16:05:14    3372  1   8% S   103 820476K 266672K  fg system   com.bestv.ott
16:05:19    3372  1  15% S   103 787928K 256368K  fg system   com.bestv.ott
16:05:23    3372  0  18% S   102 786812K 256932K  fg system   com.bestv.ott
16:05:27    3372  1  23% R   102 821820K 266940K  fg system   com.bestv.ott
16:05:32    3372  0   5% S   102 819824K 268324K  fg system   com.bestv.ott
16:05:36    3372  0   6% S   102 819824K 268352K  fg system   com.bestv.ott
16:05:40    3372  1   9% S   102 819732K 268312K  fg system   com.bestv.ott
16:05:44    3372  0  21% R   102 790736K 262724K  fg system   com.bestv.ott
16:05:49    3372  1   2% S   102 819564K 262204K  fg system   com.bestv.ott
16:05:53    3372  1  24% R   102 822672K 279632K  fg system   com.bestv.ott
16:05:57    3372  0   2% S   102 820324K 265016K  fg system   com.bestv.ott
16:06:01    3372  0  18% R   117 787308K 255016K  fg system   com.bestv.ott
16:06:06    3372  0  13% S   118 808000K 266880K  fg system   com.bestv.ott
16:06:10    3372  0  18% R   117 803760K 259368K  fg system   com.bestv.ott
16:06:14    3372  0  25% S   117 820920K 266152K  fg system   com.bestv.ott
16:06:19    3372  0   2% S   117 819104K 263712K  fg system   com.bestv.ott
16:06:23    3372  0   2% S   117 819104K 263712K  fg system   com.bestv.ott
16:06:27    3372  1  22% R   118 800992K 270756K  fg system   com.bestv.ott
16:06:31    3372  0  14% S   119 802912K 248936K  fg system   com.bestv.ott
16:06:36    3372  1  20% S   119 788148K 237016K  fg system   com.bestv.ott
16:06:40    3372  0  12% S   119 793188K 241784K  fg system   com.bestv.ott
16:06:45    3372  0  19% S   117 803500K 259612K  fg system   com.bestv.ott
16:06:49    3372  1  25% S   117 807692K 261836K  fg system   com.bestv.ott
16:06:53    3372  1  19% S   117 791120K 243432K  fg system   com.bestv.ott
16:06:57    3372  0  34% R   118 810532K 256952K  fg system   com.bestv.ott
16:07:02    3372  0  17% S   112 800236K 261912K  fg system   com.bestv.ott
16:07:06    3372  0   8% S   112 768264K 270956K  fg system   com.bestv.ott
16:07:10    3372  1  19% R   114 794580K 266784K  fg system   com.bestv.ott
16:07:15    3372  1  30% S   113 793440K 268172K  fg system   com.bestv.ott
16:07:19    3372  1   5% S   113 801976K 270004K  fg system   com.bestv.ott
16:07:23    3372  1   2% R   113 809280K 270196K  fg system   com.bestv.ott
16:07:27    3372  0  16% S   113 793516K 263728K  fg system   com.bestv.ott
16:07:32    3372  0   9% S   117 797108K 268872K  fg system   com.bestv.ott
16:07:36    3372  1  25% S   113 794624K 266680K  fg system   com.bestv.ott
16:07:40    3372  1  17% S   113 793080K 265400K  fg system   com.bestv.ott
16:07:44    3372  1  17% S   113 792056K 265152K  fg system   com.bestv.ott
16:07:49    3372  0   5% S   113 791896K 264992K  fg system   com.bestv.ott
16:07:53    3372  0  14% S   113 792152K 265252K  fg system   com.bestv.ott
16:07:57    3372  0  10% R   113 791672K 264784K  fg system   com.bestv.ott
16:08:02    3372  1  31% R   130 801852K 259568K  fg system   com.bestv.ott
16:08:06    3372  0  30% R   130 813860K 280940K  fg system   com.bestv.ott
16:08:10    3372  0  28% S   132 821400K 255352K  fg system   com.bestv.ott
16:08:14    3372  1  20% S   132 824116K 264088K  fg system   com.bestv.ott
16:08:19    3372  0   4% S   132 825016K 265716K  fg system   com.bestv.ott
16:08:23    3372  1   3% S   132 825016K 262376K  fg system   com.bestv.ott
16:08:27    3372  0   4% S   132 825016K 262736K  fg system   com.bestv.ott
16:08:32    3372  0   4% S   132 825016K 263108K  fg system   com.bestv.ott
16:08:36    3372  1   5% S   132 825016K 263528K  fg system   com.bestv.ott
16:08:40    3372  1   4% S   132 825016K 263820K  fg system   com.bestv.ott
16:08:45    3372  0   4% S   132 825016K 264224K  fg system   com.bestv.ott
16:08:49    3372  1   5% S   132 817136K 256572K  fg system   com.bestv.ott
16:08:53    3372  0   5% S   132 833116K 265000K  fg system   com.bestv.ott
16:08:58    3372  0   3% S   132 833116K 265560K  fg system   com.bestv.ott
16:09:02    3372  0   6% S   120 820636K 266108K  fg system   com.bestv.ott
16:09:06    3372  1   4% R   120 812760K 266208K  fg system   com.bestv.ott
16:09:10    3372  0   4% S   115 815436K 261692K  fg system   com.bestv.ott
16:09:15    3372  0   5% S   102 801916K 261896K  fg system   com.bestv.ott
16:09:19    3372  0   3% S   102 801916K 262224K  fg system   com.bestv.ott
16:09:23    3372  0   4% S   102 801916K 262504K  fg system   com.bestv.ott
16:09:28    3372  1   4% S   102 801916K 262960K  fg system   com.bestv.ott
16:09:32    3372  1   7% S   101 803404K 265000K  fg system   com.bestv.ott
16:09:36    3372  1   2% S   101 795080K 259488K  fg system   com.bestv.ott
16:09:41    3372  1   9% R   103 790776K 260996K  fg system   com.bestv.ott
16:09:45    3372  0  30% S   131 812688K 256404K  fg system   com.bestv.ott
16:09:49    3372  0  28% S   132 798756K 266484K  fg system   com.bestv.ott
16:09:54    3372  1  27% S   131 815852K 258432K  fg system   com.bestv.ott
16:09:58    3372  1   7% R   131 810948K 259736K  fg system   com.bestv.ott
16:10:02    3372  1   9% S   131 810040K 259096K  fg system   com.bestv.ott
16:10:06    3372  0   2% S   131 810040K 259096K  fg system   com.bestv.ott
16:10:11    3372  1   3% R   131 810392K 259448K  fg system   com.bestv.ott
16:10:15    3372  0   5% S   131 810040K 259096K  fg system   com.bestv.ott
16:10:19    3372  0   6% R   131 810392K 259448K  fg system   com.bestv.ott
16:10:24    3372  1  15% R   131 810944K 259768K  fg system   com.bestv.ott
16:10:28    3372  0  21% S   133 813788K 259376K  fg system   com.bestv.ott
16:10:32    3372  0  18% S   133 821092K 267580K  fg system   com.bestv.ott
16:10:36    3372  0  12% S   133 826260K 272640K  fg system   com.bestv.ott
16:10:41    3372  1  10% S   133 828892K 268304K  fg system   com.bestv.ott
16:10:45    3372  0   5% S   116 811084K 268144K  fg system   com.bestv.ott
16:10:49    3372  0  11% S   116 813580K 270680K  fg system   com.bestv.ott
16:10:54    3372  0   6% S   116 815660K 273024K  fg system   com.bestv.ott
16:10:58    3372  0   5% S   116 817220K 274800K  fg system   com.bestv.ott
16:11:02    3372  1   8% S   116 819300K 277192K  fg system   com.bestv.ott
16:11:07    3372  1   7% R   115 820340K 275220K  fg system   com.bestv.ott
16:11:11    3372  0  35% S   114 814736K 283920K  fg system   com.bestv.ott
16:11:15    3372  0  35% R   117 826416K 283600K  fg system   com.bestv.ott
16:11:20    3372  1  14% R   117 816084K 275140K  fg system   com.bestv.ott
16:11:24    3372  1  16% S   117 814492K 273624K  fg system   com.bestv.ott
16:11:29    3372  1  17% S   117 800136K 266128K  fg system   com.bestv.ott
16:11:33    3372  0  12% S   110 788320K 265440K  fg system   com.bestv.ott
16:11:37    3372  0   9% S   110 791584K 268516K  fg system   com.bestv.ott
16:11:41    3372  0  24% R   107 785504K 286640K  fg system   com.bestv.ott
16:11:46    3372  1  20% S   109 785792K 263672K  fg system   com.bestv.ott
16:11:50    3372  1  18% S   112 805056K 282160K  fg system   com.bestv.ott
16:11:54    3372  1  21% S   111 810708K 293468K  fg system   com.bestv.ott
16:11:59    3372  1   7% D   113 785520K 260108K  fg system   com.bestv.ott
16:12:03    3372  1  13% S   114 758320K 265980K  fg system   com.bestv.ott
16:12:07    3372  1  28% S   111 792308K 268440K  fg system   com.bestv.ott
16:12:12    3372  0  14% S   111 780248K 259148K  fg system   com.bestv.ott
16:12:16    3372  0  23% R   111 780568K 259468K  fg system   com.bestv.ott
16:12:20    3372  0  19% R   111 780376K 259288K  fg system   com.bestv.ott
16:12:25    3372  1  12% S   111 780440K 259320K  fg system   com.bestv.ott
